,profit,dailyVol,lowVol,highVol,margin,lowPrice,highPrice,limit,name
0,,11764.0,4704,7056,0,1990,1990,,Raw boar meat
1,1740000.0,141606.0,476,12084,174,1874,2048,10000.0,Diamond amulet (u)
2,1300000.0,2532.0,0,1268,100,400,500,13000.0,Uncooked meat pie
3,1200000.0,58350.0,2217,2202,120,1160,1280,10000.0,Ruby amulet (u)
4,990000.0,71258.0,10181,1001,99,1935,2034,10000.0,Diamond amulet
5,950000.0,56444.0,7949,945,95,1200,1295,10000.0,Ruby amulet
6,750000.0,15710.0,3,1651,75,475,550,10000.0,Sapphire amulet
7,570000.0,20349.0,1058,701,57,570,627,10000.0,Emerald amulet (u)
8,410000.0,1538070.0,52704,32155,41,1842,1883,10000.0,Adamantite bar
9,350000.0,17460.0,194,205,35,1920,1955,10000.0,Diamond ring
10,312000.0,24668.0,880,4819,24,191,215,13000.0,Hard leather
11,290000.0,508018.0,19971,8572,29,2353,2382,10000.0,Uncut diamond
12,285000.0,11973.0,503,120,19,91,110,15000.0,Raw pike
13,270000.0,33280.0,1470,288,27,1035,1062,10000.0,Ruby ring
14,234000.0,39673.0,29,314,18,27,45,13000.0,Chocolate bar
15,234000.0,311884.0,11621,10,13,275,288,18000.0,Maple longbow
16,230000.0,28060.0,313,1902,23,512,535,10000.0,Anchovy pizza
17,220000.0,84310.0,7427,400,22,652,674,10000.0,Emerald ring
18,198000.0,237773.0,19439,10727,11,466,477,18000.0,Sapphire necklace
19,182000.0,244443.0,9617,18455,14,278,292,13000.0,Plank
20,182000.0,10400.0,460,68,14,240,254,13000.0,Raw rat meat
21,182000.0,130728.0,1761,2772,14,60,74,13000.0,Ball of wool
22,180000.0,55976.0,1090,2334,18,69,87,10000.0,Beer glass
23,180000.0,216299.0,15004,8681,10,2015,2025,18000.0,Diamond necklace
24,176000.0,9768.0,36,16,16,1690,1706,11000.0,Fire talisman
25,165000.0,484480.0,45810,16940,15,866,881,11000.0,Wine of zamorak
26,165000.0,148718.0,3788,4909,11,100,111,15000.0,Raw trout
27,162000.0,36314.0,2194,112,9,191,200,18000.0,Maple shortbow
28,150000.0,11342.0,468,818,10,85,95,15000.0,Raw herring
29,148000.0,17334.0,87,235,74,207,281,2000.0,Antipoison(4)
30,144000.0,218422.0,23153,5532,8,160,168,18000.0,Gold amulet
31,130000.0,18421.0,10,1007,10,190,200,13000.0,Bread dough
32,130000.0,17274.0,58,993,13,67,80,10000.0,Stew
33,130000.0,694290.0,36553,10713,10,890,900,13000.0,Ruby
34,110000.0,11610.0,172,74,11,75,86,10000.0,Meat pie
35,110000.0,653557.0,33692,4887,11,461,472,10000.0,Uncut emerald
36,108000.0,460007.0,26727,7268,6,138,144,18000.0,Gold necklace
37,108000.0,21064.0,233,685,6,157,163,18000.0,Willow longbow
38,104000.0,774680.0,27303,45471,8,484,492,13000.0,Red spiders' eggs
39,100000.0,76556.0,549,10015,10,50,60,10000.0,Tiara
40,100000.0,30444.0,5,62,10,91,101,10000.0,Apple pie
41,100000.0,28760856.0,755938,507177,4,123,127,25000.0,Death rune
42,100000.0,73419.0,106,1726,10,390,400,10000.0,Plain pizza
43,94000.0,14836.0,0,19,47,25,72,2000.0,Beer
44,90000.0,1665125.0,33570,29289,5,10,15,18000.0,Thread
45,90000.0,11141.0,345,310,15,25,40,6000.0,Sardine
46,90000.0,453538.0,22375,34975,5,135,140,18000.0,Gold amulet (u)
47,78000.0,641223.0,81636,15196,6,211,217,13000.0,Limpwurt root
48,75000.0,562194.0,23892,6408,5,160,165,15000.0,Raw swordfish
49,75000.0,6866983.0,482587,561046,5,10,15,15000.0,Maple logs
50,72000.0,7557931.0,181298,431203,4,81,85,18000.0,Cosmic rune
51,60000.0,52746.0,928,1507,30,315,345,2000.0,Energy potion(4)
52,52000.0,32987.0,770,3174,4,47,51,13000.0,Tin ore
53,52000.0,68731.0,2018,232,4,86,90,13000.0,Pot of flour
54,52000.0,620710.0,14376,8556,4,433,437,13000.0,Emerald
55,52000.0,25164.0,2043,1983,4,49,53,13000.0,Copper ore
56,50000.0,735024.0,33437,24857,5,12520,12525,10000.0,Runite bar
57,50000.0,34149826.0,1324583,1601092,1,4,5,50000.0,Air rune
58,50000.0,818156.0,30453,6382,5,993,998,10000.0,Uncut ruby
59,50000.0,25524219.0,570961,644343,1,4,5,50000.0,Earth rune
60,50000.0,27342914.0,214188,1331139,1,4,5,50000.0,Water rune
61,43120.0,18112.0,861,394,616,14884,15500,70.0,Rune scimitar
62,40000.0,111537.0,10647,5087,4,112,116,10000.0,Bronze bar
63,40000.0,1592172.0,65078,37169,4,670,674,10000.0,Mithril bar
64,39000.0,601237.0,17324,4441,3,267,270,13000.0,Sapphire
65,39000.0,50853.0,94,125,3,133,136,13000.0,Cowhide
66,39000.0,161426.0,730,2519,3,186,189,13000.0,Leather
67,39000.0,317740.0,29,65513,3,97,100,13000.0,Clay
68,39000.0,154056.0,9,974,3,76,79,13000.0,Bucket of milk
69,39000.0,68645.0,4,2683,3,41,44,13000.0,Raw chicken
70,39000.0,160042.0,238,3331,3,60,63,13000.0,Cooking apple
71,36000.0,113792.0,5263,171,2,132,134,18000.0,Gold ring
72,36000.0,8991555.0,362663,446625,2,117,119,18000.0,Law rune
73,30000.0,11065.0,0,1,3,397,400,10000.0,Sapphire amulet (u)
74,30000.0,490814.0,4014,9063,2,37,39,15000.0,Willow logs
75,30000.0,42781620.0,72796,3212578,1,2,3,30000.0,Feather
76,30000.0,8358494.0,495959,164205,1,188,189,30000.0,Gold ore
77,30000.0,39107133.0,1226850,474665,1,2,3,30000.0,Pure essence
78,30000.0,158960.0,10546,3877,2,35,37,15000.0,Raw salmon
79,30000.0,22484.0,1313,111,2,83,85,15000.0,Raw shrimps
80,28140.0,34439.0,2059,309,402,24067,24469,70.0,Rune warhammer
81,27875.0,49667.0,1277,3492,223,1474,1697,125.0,Amulet of strength
82,26000.0,84199.0,412,91,2,36,38,13000.0,Egg
83,26000.0,22062.0,208,46,2,14,16,13000.0,Bowl
84,26000.0,133101.0,8624,210,2,150,152,13000.0,Ashes
85,26000.0,24158.0,215,2125,2,60,62,13000.0,Potato
86,26000.0,238471.0,395,4227,2,62,64,13000.0,Banana
87,26000.0,1008139.0,19761,43449,2,134,136,13000.0,Soft clay
88,24000.0,38608.0,7,35,4,42,46,6000.0,Kebab
89,24000.0,7942.0,209,163,4,21,25,6000.0,Herring
90,24000.0,101428.0,3299,4016,4,49,53,6000.0,Salmon
91,24000.0,627846.0,29467,25964,4,183,187,6000.0,Lobster
92,20000.0,6062787.0,354193,206577,2,92,94,10000.0,Gold bar
93,20000.0,388365.0,4626,1518,1,11,12,20000.0,Rune essence
94,20000.0,167079.0,15756,9910,2,70,72,10000.0,Silver bar
95,18000.0,35449499.0,1068395,1499285,1,64,65,18000.0,Chaos rune
96,18000.0,23043884.0,513182,1666187,1,94,95,18000.0,Nature rune
97,18000.0,588106.0,15209,27800,3,203,206,6000.0,Swordfish
98,18000.0,45637.0,4837,1054,9,215,224,2000.0,Energy potion(3)
99,18000.0,1722744.0,76739,9578,4,1009,1013,4500.0,Adamantite ore
100,18000.0,14817145.0,515297,508510,1,2,3,18000.0,Mind rune
101,18000.0,9293.0,268,14,3,171,174,6000.0,Chocolate cake
102,15125.0,242215.0,10115,7554,121,9400,9521,125.0,Adamant platebody
103,15000.0,316342.0,13041,11774,5,279,284,3000.0,Big bones
104,15000.0,482035.0,8735,10778,1,139,140,15000.0,Raw lobster
105,15000.0,306649.0,7763,11403,1,44,45,15000.0,Logs
106,15000.0,1270851.0,12689,7821,1,50,51,15000.0,Oak logs
107,15000.0,32407.0,18,0,1,56,57,15000.0,Anchovies
108,13000.0,49161.0,119,262,1,24,25,13000.0,Bucket of water
109,13000.0,2440347.0,116163,13829,1,94,95,13000.0,Iron ore
110,13000.0,3491848.0,181429,192234,1,22,23,13000.0,Jug of water
111,13000.0,12672940.0,687089,209831,1,153,154,13000.0,Coal
112,13000.0,123844.0,298,38996,1,38,39,13000.0,Chocolate dust
113,13000.0,2487936.0,100728,20963,1,114,115,13000.0,Mithril ore
114,13000.0,1884149.0,53643,16678,1,45,46,13000.0,Silver ore
115,13000.0,156190.0,1335,4843,1,255,256,13000.0,Pie shell
116,13000.0,10291.0,509,1945,1,36,37,13000.0,Raw beef
117,12375.0,30811.0,295,2867,99,1875,1974,125.0,Amulet of power
118,12000.0,700260.0,17375,5185,2,155,157,6000.0,Tuna
119,12000.0,2110684.0,83414,29939,2,3,5,6000.0,Jug of wine
120,11200.0,61172.0,4812,637,160,20400,20560,70.0,Rune full helm
121,11000.0,9749.0,571,224,1,150,151,11000.0,Water talisman
122,11000.0,4494467.0,127175,119555,1,11,12,11000.0,Adamant arrow
123,10000.0,329337.0,3865,7516,1,187,188,10000.0,Iron bar
124,10000.0,3144327.0,80290,145150,1,440,441,10000.0,Steel bar
125,8625.0,14529.0,2,876,69,450,519,125.0,Mithril warhammer
126,8400.0,17691.0,797,413,120,37880,38000,70.0,Rune plateskirt
127,8400.0,14146.0,0,775,14,95,109,600.0,Cadava berries
128,8000.0,1459088.0,145053,14942,1,3,4,8000.0,Fishing bait
129,7750.0,10618.0,423,173,62,2438,2500,125.0,Adamant battleaxe
130,7000.0,747329.0,8067,19658,1,3,4,7000.0,Bronze arrow
131,6250.0,54652.0,1319,2693,50,900,950,125.0,Steel platebody
132,6000.0,97356.0,5699,2845,1,35,36,6000.0,Trout
133,6000.0,30203.0,472,46,1,120,121,6000.0,Cake
134,6000.0,7195.0,149,129,48,528,576,125.0,Monk's robe top
135,6000.0,9606.0,650,94,1,70,71,6000.0,Cooked meat
136,5250.0,8979.0,322,250,42,2978,3020,125.0,Adamant kiteshield
137,4200.0,63988.0,1955,5098,60,38390,38450,70.0,Rune platebody
138,3750.0,8530.0,412,111,30,99,129,125.0,Anti-dragon shield
139,3500.0,83234.0,565,2012,7,10,17,500.0,Pie dish
140,3480.0,16095.0,829,119,87,423,510,40.0,Mithril pickaxe
141,3375.0,15599.0,621,702,27,20,47,125.0,Leather body
142,2000.0,27285.0,275,977,1,162,163,2000.0,Strength potion(4)
143,1750.0,274511.0,7462,6514,14,4234,4248,125.0,Green d'hide body
144,1625.0,9418.0,102,584,13,1950,1963,125.0,Green d'hide chaps
145,1500.0,36830.0,93,3231,6,71,77,250.0,Rope
146,625.0,12024.0,191,28,5,827,832,125.0,Mithril battleaxe
147,350.0,25213.0,499,1592,5,37970,37975,70.0,Rune 2h sword
148,250.0,23542.0,255,2243,2,7,9,125.0,Coif
149,160.0,14349.0,4,1199,4,8,12,40.0,Needle
150,125.0,21927.0,294,1312,1,118,119,125.0,Iron platebody
151,125.0,28973.0,341,802,1,1,2,125.0,Leather chaps
152,125.0,14212.0,198,16,1,12,13,125.0,Hardleather body
153,0.0,60209.0,5019,367,0,31969,31969,70.0,Rune kiteshield
154,0.0,7447.0,142,171,0,1815,1815,125.0,Adamant full helm
155,0.0,25525.0,9391,11040,0,47,47,11000.0,Air talisman
156,0.0,2212989.0,26346,70524,0,5,5,18000.0,Body rune
157,0.0,177963.0,6032,3251,0,2,2,7000.0,Bronze bolts
158,0.0,552718.0,14296,30218,0,5,5,13000.0,Bucket
159,0.0,32021.0,2268,219,0,28,28,6000.0,Cabbage
160,0.0,284829.0,701,2325,0,45,45,13000.0,Cheese
161,0.0,832239.0,54542,5911,0,1765,1765,11000.0,Diamond
162,0.0,106031.0,2569,25,0,176,176,11000.0,Earth talisman
163,0.0,23643.0,1574,4,0,704,704,10000.0,Emerald amulet
164,0.0,168877.0,15382,261,0,680,680,18000.0,Emerald necklace
165,0.0,595127.0,3289,16195,0,5,5,13000.0,Eye of newt
166,0.0,44529556.0,365427,3104494,0,4,4,50000.0,Fire rune
167,0.0,5359034.0,86289,229206,0,15,15,20000.0,Grapes
168,0.0,3391407.0,80154,77777,0,2,2,7000.0,Iron arrow
169,0.0,237305.0,790,10502,0,2,2,13000.0,Jug
170,0.0,8000.0,287,200,0,55,55,125.0,Leather boots
171,0.0,7980.0,1,293,0,2,2,125.0,Leather gloves
172,0.0,5142313.0,111316,103316,0,2,2,7000.0,Mithril arrow
173,0.0,10995.0,242,597,0,6879732,6879732,100.0,Old school bond
174,0.0,10356.0,7,58,0,35,35,13000.0,Onion
175,0.0,42274.0,501,1964,0,146,146,13000.0,Pastry dough
176,0.0,14093.0,6308,1722,0,125,125,11000.0,Pizza base
177,0.0,36688.0,189,1489,0,37,37,15000.0,Raw sardine
178,0.0,326563.0,6686,5707,0,129,129,15000.0,Raw tuna
179,0.0,206829.0,13972,6633,0,1144,1144,18000.0,Ruby necklace
180,0.0,10588.0,903,56,0,24584,24584,70.0,Rune battleaxe
181,0.0,34093.0,2002,206,0,18573,18573,70.0,Rune longsword
182,0.0,29762.0,1810,576,0,18556,18556,40.0,Rune pickaxe
183,0.0,13741.0,1470,93,0,22587,22587,70.0,Rune sq shield
184,0.0,569114.0,39332,5145,0,10934,10934,4500.0,Runite ore
185,0.0,225245.0,13294,3466,0,461,461,10000.0,Sapphire ring
186,0.0,9263.0,495,241,0,47,47,18000.0,Silk
187,0.0,1870773.0,79476,55536,0,17,17,7000.0,Steel arrow
188,0.0,899722.0,28394,68760,0,25,25,13000.0,Steel nails
